LATITUDE,LONGITUDE,ACCIDENTDATE,YEAR,DAYOFWEEK,ACCIDENTTYPE,FEETFROMINTERSECTION,ROADSURFACE,ROADCONDITION,STREETLIGHT,LIGHTCONDITION,WEATHER,TRAFFICCONDITION
38.904847,-77.066139,31-Oct-12,2012,Wednesday,Prop. Damage,5,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.917122,-77.041893,23-Oct-10,2010,Saturday,Prop. Damage,75,Concrete,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.912037,-77.04525,21-Aug-10,2010,Saturday,Injury,50,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.894314,-77.016542,25-May-13,2013,Saturday,Injury,0,Concrete,Dry, ,Daylight,Other,Light
38.835983,-76.995743,6-Jul-11,2011,Wednesday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.953198,-77.033051,27-Mar-11,2011,Sunday,Prop. Damage,50,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.92243,-77.0297,20-Nov-13,2013,Wednesday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.854286,-76.985206,23-Jun-10,2010,Wednesday,Injury,5,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.912999,-77.023191,23-Apr-14,2014,Wednesday,Injury,10,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.89967,-77.013174,12-Jan-15,2015,Monday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Heavy
38.949498,-77.094769,27-Nov-10,2010,Saturday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.910667,-77.04306,16-Sep-13,2013,Monday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.89865,-77.039956,9-Nov-11,2011,Wednesday,Prop. Damage,1000,Concrete,Dry,Street Lights Off,Daylight,Clear,Heavy
38.85118,-76.97288,12-Aug-14,2014,Tuesday,Injury,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Light
38.90087,-77.02398,2-Apr-10,2010,Friday,Prop. Damage,0,Asphalt,Dry, ,Dark (Lighted),Clear,Medium
38.874875,-77.016882,6-Feb-15,2015,Friday,Prop. Damage,0,Asphalt,Ice,Street Lights Off,Daylight,Severe Crosswind,Heavy
38.932941,-77.024471,4-Mar-11,2011,Friday,Prop. Damage,20,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.954222,-77.027807,2-Oct-10,2010,Saturday,Injury,10,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
